year,rank,song_id,album_id,source
2024,1,37140709,11391902,melon
2024,2,37138469,11402655,melon
2024,3,37524037,11487023,melon
2024,4,37145732,11404142,melon
2024,5,31927275,10307346,melon
2024,6,37023625,11376816,melon
2024,7,30232719,10036099,melon
2024,8,37347911,11450069,melon
2024,9,37228861,11421941,melon
2024,10,37373234,11454681,melon
2024,11,37003911,11372896,melon
2024,12,37053556,11382987,melon
2024,13,36699489,11305759,melon
2024,14,37390939,11459325,melon
2024,15,37563682,11475749,melon
2024,16,37194943,11415997,melon
2024,17,37323943,11444397,melon
2024,18,36382580,11227533,melon
2024,19,37460832,11474894,melon
2024,20,36956630,11362544,melon
2024,21,36356993,11211297,melon
2024,22,34451383,10821699,melon
2024,23,35454426,11011565,melon
2024,24,36910957,11352904,melon
2024,25,37098744,11394065,melon
2024,26,37463572,11475530,melon
2024,27,4446485,2232505,melon
2024,28,36617841,11286070,melon
2024,29,32061975,10331947,melon
2024,30,37344905,11449278,melon
2024,31,34061322,10735654,melon
2024,32,37657039,11517951,melon
2024,33,35945927,11127145,melon
2024,34,34657844,10871162,melon
2024,35,37464459,11475749,melon
2024,36,36635522,11281456,melon
2024,37,36599950,11281456,melon
2024,38,37323944,11444397,melon
2024,39,36616378,11285867,melon
2024,40,31666417,10260858,melon
2024,41,37524038,11487023,melon
2024,42,36713849,11309190,melon
2024,43,37225604,11407156,melon
2024,44,34819473,10903868,melon
2024,45,36717264,11309832,melon
2024,46,38120327,11619809,melon
2024,47,37069064,11386568,melon
2024,48,30962526,10149492,melon
2024,49,34431086,10816959,melon
2024,50,33496587,10610525,melon
2024,51,36430773,11240232,melon
2024,52,36930793,11356868,melon
2024,53,37064763,11385577,melon
2024,54,36416114,11236264,melon
2024,55,36110996,11166539,melon
2024,56,35454425,11011565,melon
2024,57,37737619,11533515,melon
2024,58,34908740,10923444,melon
2024,59,37693124,11525661,melon
2024,60,34847378,10909179,melon
2024,61,32872978,10479150,melon
2024,62,36595401,11280645,melon
2024,63,35985167,11127145,melon
2024,64,37373808,11454802,melon
2024,65,30244931,10037969,melon
2024,66,36502910,11258233,melon
2024,67,36871671,11333459,melon
2024,68,36334401,11215072,melon
2024,69,36852553,11339556,melon
2024,70,35008524,10923444,melon
2024,71,37225606,11407156,melon
2024,72,37248283,11427101,melon
2024,73,36180700,11180278,melon
2024,74,37222942,11404142,melon
2024,75,36062335,11154218,melon
2024,76,32508053,10412319,melon
2024,77,4352438,2219671,melon
2024,78,38123332,11620540,melon
2024,79,36713850,11309190,melon
2024,80,36391236,11229537,melon
2024,81,36855841,11340391,melon
2024,82,35008525,10923444,melon
2024,83,36318125,11211297,melon
2024,84,37375706,11455285,melon
2024,85,37138464,11402655,melon
2024,86,35252996,10975276,melon
2024,87,35834583,11102375,melon
2024,88,38077932,11610170,melon
2024,89,36778869,11323044,melon
2024,90,36440243,11242411,melon
2024,91,38022274,11580909,melon
2024,92,37051616,11382496,melon
2024,93,36404853,11233031,melon
2024,94,35834584,11102375,melon
2024,95,37640352,11456179,melon
2024,96,35008534,10923444,melon
2024,97,35546497,11034298,melon
2024,98,37248286,11427101,melon
2024,99,37884934,11564698,melon
2024,100,37138471,11402655,melon
