album_id,release_date,genre,distributor,enterteinment
10613163,2021.05.22,"발라드, 댄스","지니뮤직, Stone Music Entertainment",유야호
11415997,2024.02.13,"댄스, R&B/Soul",카카오엔터테인먼트,FeelGhoodMusic
10570193,2021.02.25,랩/힙합,"지니뮤직, Stone Music Entertainment",앰비션뮤직
11219412,2023.04.21,"랩/힙합, R&B/Soul",YG PLUS,BIGHIT MUSIC
10385896,2020.02.09,"국내드라마, 발라드",지니뮤직,Stone Music Entertainment
10842611,2022.01.17,"댄스, R&B/Soul","지니뮤직, Stone Music Entertainment",위에화엔터테인먼트코리아
10265079,2019.03.24,발라드,카카오엔터테인먼트,SM ENTERTAINMENT
11125247,2022.12.17,랩/힙합,지니뮤직,Stone Music Entertainment
11201031,2023.03.20,댄스,Dreamus,(주)JYP엔터테인먼트
10527241,2020.12.02,발라드,Beyond Music,Beyond Music
10801677,2021.12.03,발라드,카카오엔터테인먼트,쇼플레이엔터테인먼트
10670618,2021.08.04,"국내드라마, 발라드","지니뮤직, Stone Music Entertainment",PLAYLIST
11211297,2023.04.10,"댄스, 발라드",카카오엔터테인먼트,스타쉽엔터테인먼트
10566182,2021.02.19,발라드,(주)엔에이치엔벅스,니즈뮤직 
10314289,2019.08.04,"국내드라마, 발라드",Beyond Music,Beyond Music
11475530,2024.04.29,댄스,카카오엔터테인먼트,스타쉽엔터테인먼트
10609232,2021.05.17,댄스,카카오엔터테인먼트,SM ENTERTAINMENT
10990161,2022.06.24,"댄스, R&B/Soul, 발라드",Dreamus,㈜JYP엔터테인먼트
10416723,2020.04.13,"댄스, 발라드",카카오엔터테인먼트,Above Music
10590812,2021.04.12,발라드,지니뮤직,WAKEONE
10283614,2019.05.11,발라드,(주)엔에이치엔벅스,캔버스뮤직
11340391,2023.10.09,댄스,카카오엔터테인먼트,물고기 뮤직
10451566,2020.06.26,댄스,YG PLUS,(주)YG엔터테인먼트
10320500,2019.08.23,"국내드라마, 록/메탈","지니뮤직, Stone Music Entertainment","Stone Music Entertainment, 삼화네트웍스"
10648182,2021.07.09,댄스,YG PLUS,BIGHIT MUSIC
10117789,2017.12.06,"랩/힙합, 인디음악",워너뮤직,UNCUTPOINT
10298014,2019.06.20,발라드,카카오엔터테인먼트,(주)하우엔터테인먼트
10539679,2020.12.28,발라드,카카오엔터테인먼트,Above Music
10447520,2020.06.20,랩/힙합,YG PLUS,NEOKIDZ
10367659,2019.12.22,발라드,RIAK,㈜ 스튜디오 오드리
10326710,2019.09.08,발라드,RIAK,㈜ 스튜디오 오드리
10601149,2021.05.02,랩/힙합,"지니뮤직, Stone Music Entertainment","BPM ENTERTAINMENT, FameUs Entertainment"
11121346,2022.12.13,발라드,카카오엔터테인먼트,디스튜디오
11356868,2023.11.02,"R&B/Soul, 댄스",YG PLUS,BIGPLANETMADE
10453701,2020.07.01,랩/힙합,카카오엔터테인먼트,KOZ 엔터테인먼트
10623687,2021.06.11,"댄스, R&B/Soul",Dreamus,㈜JYP엔터테인먼트
10465994,2020.07.23,R&B/Soul,"지니뮤직, Stone Music Entertainment",AOMG
10037969,2017.02.13,"랩/힙합, 발라드",YG PLUS,BIGHIT MUSIC
10402513,2020.03.13,성인가요/트로트,카카오엔터테인먼트,"TV CHOSUN, ㈜쇼플레이"
10775252,2021.11.13,랩/힙합,지니뮤직,Stone Music Entertainment
11385577,2023.12.17,"국내드라마, 발라드",NHN벅스,모스트콘텐츠
10552055,2021.01.24,발라드,카카오엔터테인먼트,"TOON STUDIO, 느을"
11459325,2024.04.08,"국내드라마, 록/메탈, 발라드","지니뮤직, Stone Music Entertainment","BON FACTORY, Stone Music Entertainment"
10889981,2022.03.11,R&B/Soul,카카오엔터테인먼트,MORE VISION
2210557,2013.10.14,록/메탈,지니뮤직,Love maneuver
11309832,2023.09.04,댄스,카카오엔터테인먼트,SM ENTERTAINMENT
10400522,2020.03.09,"댄스, 랩/힙합, 록/메탈",Dreamus,(주)JYP엔터테인먼트
11305759,2023.08.15,발라드,카카오엔터테인먼트,TOON STUDIO
11475749,2024.05.24,댄스,YG PLUS,ADOR
10369830,2019.12.30,"R&B/Soul, 인디음악",워너뮤직,(주)MAKTUB Company
11240232,2023.05.15,"댄스, 발라드",카카오엔터테인먼트,큐브 엔터테인먼트
11154218,2023.01.23,"발라드, 인디음악",카카오엔터테인먼트,"비에스(BS), (주)제나두엔터테인먼트"
11033394,2022.09.16,"랩/힙합, 댄스, 발라드",YG PLUS,YG Entertainment
10810162,2021.12.12,랩/힙합,"지니뮤직, Stone Music Entertainment","BPM ENTERTAINMENT, FameUs Entertainment"
11455285,2024.04.02,발라드,YG PLUS,BIGPLANETMADE
10447670,2020.06.19,댄스,카카오엔터테인먼트,EDAM엔터테인먼트
10636091,2021.06.24,발라드,카카오엔터테인먼트,카카오엔터테인먼트
11352904,2023.10.27,댄스,YG PLUS,쏘스뮤직
11166539,2023.02.06,"댄스, R&B/Soul",YG PLUS,플레디스엔터테인먼트
10818396,2021.12.20,댄스,카카오엔터테인먼트,SM ENTERTAINMENT
11115359,2022.12.04,발라드,카카오엔터테인먼트,레이벡스
11078496,2022.10.17,"댄스, 발라드, R&B/Soul, 록/메탈",YG PLUS,쏘스뮤직
10210149,2018.10.11,"인디음악, 포크/블루스",포크라노스,Baek A
10273641,2019.04.12,"랩/힙합, R&B/Soul, 댄스",YG PLUS,BIGHIT MUSIC
11404142,2024.02.20,"록/메탈, 발라드, 랩/힙합, R&B/Soul",카카오엔터테인먼트,EDAM 엔터테인먼트
332658,2006.11.15,R&B/Soul,지니뮤직,Stone Music Entertainment
11023224,2022.08.05,"댄스, R&B/Soul, 발라드",카카오엔터테인먼트,SM ENTERTAINMENT
10439549,2020.06.04,랩/힙합,"지니뮤직, Stone Music Entertainment",H1GHR MUSIC
10036099,2017.02.06,록/메탈,Dreamus,(주)JYP엔터테인먼트
10554246,2021.03.25,"댄스, 발라드, R&B/Soul",카카오엔터테인먼트,EDAM엔터테인먼트
11391902,2024.01.22,댄스,YG PLUS,플레디스엔터테인먼트
10505118,2020.10.19,"발라드, 댄스",카카오엔터테인먼트,YES IM ENTERTAINMENT
10984354,2022.06.15,랩/힙합,"지니뮤직, Stone Music Entertainment",AMBITION MUSIK
10695590,2021.08.29,"발라드, 인디음악",카카오엔터테인먼트,"카카오엔터테인먼트, 민트페이퍼, 광합성"
11236264,2023.05.08,"R&B/Soul, 댄스, 발라드",카카오엔터테인먼트,SM ENTERTAINMENT
11242411,2023.05.12,발라드,NHN벅스,니즈뮤직
10521521,2020.11.20,"랩/힙합, 댄스, 발라드, R&B/Soul",YG PLUS,BIGHIT MUSIC
11140018,2023.01.05,"댄스, 랩/힙합, R&B/Soul",Sony Music,GLG
2677681,2016.04.06,"댄스, 발라드",Beyond Music,Beyond Music
10425277,2020.05.05,"발라드, 인디음악",지니뮤직,비에스(BS) Ent.
11449278,2024.03.24,"국내드라마, 발라드",NHN벅스,"소리날리, 스튜디오드래곤"
10638275,2021.06.26,발라드,"지니뮤직, Stone Music Entertainment",유야호
10863559,2022.02.14,"댄스, 발라드, R&B/Soul",카카오엔터테인먼트,SM ENTERTAINMENT
10830791,2022.01.03,댄스,카카오엔터테인먼트,SM ENTERTAINMENT
10589127,2021.04.08,"댄스, R&B/Soul, 록/메탈, 일렉트로니카",카카오엔터테인먼트,High Up Entertainment
10873811,2022.02.21,"댄스, R&B/Soul",카카오엔터테인먼트,High Up Entertainment
10865624,2022.02.13,발라드,카카오엔터테인먼트,TOON STUDIO
10804190,2021.12.07,"국내드라마, 발라드",(주)엔에이치엔벅스,모스트콘텐츠
10810337,2021.12.13,"국내드라마, 발라드",(주)엔에이치엔벅스,모스트콘텐츠
10636269,2021.06.25,"국내드라마, 발라드","지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment"
10359789,2019.12.03,발라드,지니뮤직,WAKEONE
10423289,2020.04.27,"댄스, 발라드",카카오엔터테인먼트,WM ENTERTAINMENT
10521601,2020.11.21,랩/힙합,지니뮤직,Stone Music Entertainment
10716174,2021.09.19,"R&B/Soul, 인디음악",워너뮤직,(주)MAKTUB Company
11394065,2024.01.05,댄스,카카오엔터테인먼트,SM ENTERTAINMENT
10916904,2022.04.12,랩/힙합,YG PLUS,"BIGPLANETMADE, SWING ENTERTAINMENT, 페임어스 엔터테인먼트"
11281456,2023.07.21,댄스,YG PLUS,ADOR
10368053,2019.12.23,"댄스, R&B/Soul, 발라드, 재즈, 애시드/퓨전/팝",카카오엔터테인먼트,SM ENTERTAINMENT
11230265,2023.04.25,"국내드라마, 발라드",NHN벅스,캔버스뮤직
11004992,2022.07.15,"댄스, 랩/힙합, R&B/Soul",Dreamus,(주)JYP엔터테인먼트
10939458,2022.05.02,"댄스, 발라드",YG PLUS,쏘스뮤직
10576966,2021.03.12,"록/메탈, 포크/블루스",YG PLUS,YG Entertainment
10501191,2020.10.10,댄스,NHN벅스,신박기획
10476623,2020.08.14,댄스,카카오엔터테인먼트,브레이브 엔터테인먼트
11062364,2022.09.22,R&B/Soul,Dreamus,피네이션
10409054,2020.03.27,"국내드라마, 발라드","지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment"
11045985,2022.09.06,랩/힙합,지니뮤직,Stone Music Entertainment
10388581,2020.02.15,"국내드라마, 발라드",주식회사 블렌딩,주식회사 블렌딩
10415229,2020.04.10,"국내드라마, 발라드","지니뮤직, Stone Music Entertainment","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment"
10937474,2022.04.29,"랩/힙합, 댄스, 일렉트로니카",Dreamus,P NATION
11205764,2023.03.24,"댄스, 랩/힙합, R&B/Soul",YG PLUS,BIGHIT MUSIC
10611845,2021.05.20,R&B/Soul,"지니뮤직, Stone Music Entertainment",피네이션
10890384,2022.03.14,"록/메탈, R&B/Soul, 댄스, 랩/힙합",카카오엔터테인먼트,큐브 엔터테인먼트
10437786,2020.06.01,댄스,Dreamus,(주)JYP엔터테인먼트
10575005,2021.03.09,성인가요/트로트,카카오엔터테인먼트,"티조컬처앤컨텐츠, 뉴에라프로젝트, 물고기뮤직"
10908834,2022.04.05,록/메탈,YG PLUS,YG Entertainment
10427559,2020.05.13,"인디음악, 포크/블루스",(주)엔에이치엔벅스,쇼파르뮤직
10607796,2021.05.14,록/메탈,카카오엔터테인먼트,쇼플레이엔터테인먼트
10359994,2019.12.03,랩/힙합,"지니뮤직, Stone Music Entertainment","AOMG, 딩고뮤직, Hi-Lite Records, ILLIONAIRE RECORDS, VMC, Y.."
10556610,2021.01.31,발라드,카카오엔터테인먼트,뮤직원 컴퍼니
