year,month,week_number_in_month,rank,song_name,song_performer
2023,1,1,1,Ditto,NewJeans
2023,1,1,2,사건의 지평선,윤하 (YOUNHA)
2023,1,1,3,OMG,NewJeans
2023,1,1,4,Hype Boy,NewJeans
2023,1,1,5,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
2023,1,1,6,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023,1,1,7,Candy,NCT DREAM
2023,1,1,8,After LIKE,IVE (아이브)
2023,1,1,9,Attention,NewJeans
2023,1,1,10,Nxde,i-dle (아이들)
2023,1,1,11,마이웨이 (MY WAY) (Prod. R.Tee),저스디스 (JUSTHIS)
2023,1,1,12,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2023,1,1,13,LOVE DIVE,IVE (아이브)
2023,1,1,14,Monologue,테이
2023,1,1,15,너의 모든 순간,성시경
2023,1,1,16,Cookie,NewJeans
2023,1,1,17,그대를 알고,송하예
2023,1,1,18,Shut Down,BLACKPINK
2023,1,1,19,사랑은 늘 도망가,임영웅
2023,1,1,20,해요 (2022),#안녕
2023,1,1,21,잘가요,주호
2023,1,1,22,사랑인가 봐,멜로망스
2023,1,1,23,Pink Venom,BLACKPINK
2023,1,1,24,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
2023,1,1,25,Rush Hour (Feat. j-hope of BTS),Crush
2023,1,1,26,TOMBOY,i-dle (아이들)
2023,1,1,27,내가 아니라도,주호
2023,1,1,28,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
2023,1,1,29,자격지심 (Feat. ZICO),BE'O (비오)
2023,1,1,30,딱 10CM만,10CM
2023,1,1,31,FEARLESS,LE SSERAFIM (르세라핌)
2023,1,1,32,그라데이션,10CM
2023,1,1,33,WHEN I MOVE,카라
2023,1,1,34,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2023,1,1,35,취중고백,김민석
2023,1,1,36,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh)
2023,1,1,37,나의 X에게,경서
2023,1,1,38,그 겨울이 잠든 거리에서,경서예지
2023,1,1,39,Say I Love You,우디 (Woody)
2023,1,1,40,ELEVEN,IVE (아이브)
2023,1,1,41,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK)
2023,1,1,42,우리들의 블루스,임영웅
2023,1,1,43,다정히 내 이름을 부르면,경서예지
2023,1,1,44,Snowman,Sia
2023,1,1,45,보고싶었어,WSG워너비(4FIRE)
2023,1,1,46,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2023,1,1,47,That's Hilarious,Charlie Puth
2023,1,1,48,첫사랑,백아
2023,1,1,49,떠나보낼 준비해 둘걸 그랬어,임한별
2023,1,1,50,I Don't Think That I Like Her,Charlie Puth
2023,1,1,51,LOVE me,BE'O (비오)
2023,1,1,52,우린 그렇게 사랑해서,강민경 (다비치)
2023,1,1,53,밤하늘의 별을(2020),경서
2023,1,1,54,오르트구름,윤하 (YOUNHA)
2023,1,1,55,다시 만날 수 있을까,임영웅
2023,1,1,56,내 기쁨은 너가 벤틀리를 끄는 거야,김승민
2023,1,1,57,그댄 행복에 살텐데 (2022),최유리
2023,1,1,58,위하여 (We Higher) (Prod. GroovyRoom),그루비룸 (GroovyRoom)
2023,1,1,59,새벽에 걸려온 너의 전화는,한동근
2023,1,1,60,눈이 오잖아(Feat.헤이즈),이무진
2023,1,1,61,STAY,The Kid LAROI
2023,1,1,62,Dynamite,방탄소년단
2023,1,1,63,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2023,1,1,64,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
2023,1,1,65,주저하는 연인들을 위해,잔나비
2023,1,1,66,"빡 (Feat. 팔로알토 (Paloalto), 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK)
2023,1,1,67,이제 나만 믿어요,임영웅
2023,1,1,68,아픈 나를 (Prod. By 나얼),성시경
2023,1,1,69,Love story,볼빨간사춘기
2023,1,1,70,"나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)",KHAN
2023,1,1,71,FOREVER 1,소녀시대 (GIRLS' GENERATION)
2023,1,1,72,무지개,임영웅
2023,1,1,73,Butter,방탄소년단
2023,1,1,74,London Boy,임영웅
2023,1,1,75,흩어지지 않게,엠씨더맥스 (M.C the MAX)
2023,1,1,76,봄날,방탄소년단
2023,1,1,77,이 소설의 끝을 다시 써보려 해,테이
2023,1,1,78,도깨비불 (Illusion),aespa
2023,1,1,79,아버지,임영웅
2023,1,1,80,"WITCH (Feat. 박재범, So!YoON!) (Prod. by Slom)",이영지
2023,1,1,81,Polaroid,임영웅
2023,1,1,82,Permission to Dance,방탄소년단
2023,1,1,83,Off My Face,Justin Bieber
