year,month,week_number_in_month,rank,song_name,song_performer
2022,1,1,1,Counting Stars (Feat. Beenzino),BE'O (비오)
2022,1,1,2,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
2022,1,1,3,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
2022,1,1,4,겨울잠,아이유
2022,1,1,5,ELEVEN,IVE (아이브)
2022,1,1,6,취중고백,김민석
2022,1,1,7,사랑은 늘 도망가,임영웅
2022,1,1,8,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick)
2022,1,1,9,눈이 오잖아(Feat.헤이즈),이무진
2022,1,1,10,strawberry moon,아이유
2022,1,1,11,다정히 내 이름을 부르면,경서예지
2022,1,1,12,Dreams Come True,aespa
2022,1,1,13,드라마,아이유
2022,1,1,14,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student
2022,1,1,15,신호등,이무진
2022,1,1,16,Savage,aespa
2022,1,1,17,STAY,The Kid LAROI
2022,1,1,18,Next Level,aespa
2022,1,1,19,흰눈,먼데이 키즈
2022,1,1,20,쉬어 (Feat. MINO) (Prod. GRAY),아넌딜라이트(Anandelight)
2022,1,1,21,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE'O (비오)
2022,1,1,22,너를 생각해,주시크 (Joosiq)
2022,1,1,23,Wake Up (Prod. 코드 쿤스트),개코
2022,1,1,24,OHAYO MY NIGHT,디핵 (D-Hack)
2022,1,1,25,정거장,아이유
2022,1,1,26,바라만 본다,MSG워너비(M.O.M)
2022,1,1,27,문득,BE'O (비오)
2022,1,1,28,낙하 (with 아이유),AKMU (악뮤)
2022,1,1,29,Butter,방탄소년단
2022,1,1,30,Step Back,GOT the beat
2022,1,1,31,Christmas Tree,V
2022,1,1,32,Permission to Dance,방탄소년단
2022,1,1,33,러브레터,아이유
2022,1,1,34,Celebrity,아이유
2022,1,1,35,My Universe,Coldplay
2022,1,1,36,우리가 헤어져야 했던 이유,비비 (BIBI)
2022,1,1,37,Dynamite,방탄소년단
2022,1,1,38,헤픈 우연,헤이즈 (Heize)
2022,1,1,39,Still I Love You,토요태
2022,1,1,40,Weekend,태연 (TAEYEON)
2022,1,1,41,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스
2022,1,1,42,너,아이유
2022,1,1,43,라일락,아이유
2022,1,1,44,밤하늘의 별을(2020),경서
2022,1,1,45,Bad Habits,Ed Sheeran
2022,1,1,46,이제 나만 믿어요,임영웅
2022,1,1,47,고백,멜로망스
2022,1,1,48,MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY),BE'O (비오)
2022,1,1,49,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2022,1,1,50,서랍,10CM
2022,1,1,51,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
2022,1,1,52,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
2022,1,1,53,안녕 우린 헤어져야만 해,전상근
2022,1,1,54,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2022,1,1,55,매일 크리스마스 (Everyday Christmas),다비치
2022,1,1,56,롤린 (Rollin'),브레이브걸스
2022,1,1,57,이별후회,김나영
2022,1,1,58,추억은 만남보다 이별에 남아,정동하
2022,1,1,59,내 손을 잡아,아이유
2022,1,1,60,밝게 빛나는 별이 되어 비춰줄게,송이한
2022,1,1,61,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌
2022,1,1,62,Dun Dun Dance,오마이걸 (OH MY GIRL)
2022,1,1,63,Snowman,Sia
2022,1,1,64,Blueming,아이유
2022,1,1,65,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
2022,1,1,66,Off My Face,Justin Bieber
2022,1,1,67,좋아좋아,조정석
2022,1,1,68,비가 오는 날엔 (2021),헤이즈 (Heize)
2022,1,1,69,그대라는 사치,임영웅
2022,1,1,70,죽을 만큼 아파서 (Feat. JAMIE (제이미)),MC몽
2022,1,1,71,"호우주의 (Feat. 개코, 넉살 (Nucksal)) (Prod. 코드 쿤스트)",조광일
2022,1,1,72,멜로디,ASH ISLAND
2022,1,1,73,DUMB DUMB,전소미
2022,1,1,74,Queendom,Red Velvet (레드벨벳)
2022,1,1,75,취기를 빌려 (취향저격 그녀 X 산들),산들
2022,1,1,76,다시 사랑한다면 (김필 Ver.),임영웅
2022,1,1,77,너의 모든 순간,성시경
2022,1,1,78,그날에 나는 맘이 편했을까,이예준
2022,1,1,79,Santa Tell Me,Ariana Grande
2022,1,1,80,탕!♡,MINO (송민호)
2022,1,1,81,봄날,방탄소년단
2022,1,1,82,"깐부 (Feat. 염따, ASH ISLAND) (Prod. TOIL)",KOONTA (쿤타)
2022,1,1,83,비와 당신,이무진
2022,1,1,84,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
2022,1,1,85,나 그댈위해 시 한편을 쓰겠어,케이시 (Kassy)
2022,1,1,86,잊었니,임영웅
2022,1,1,87,ASAP,STAYC(스테이씨)
2022,1,1,88,All I Want for Christmas Is You,Mariah Carey
2022,1,1,89,"Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber
2022,1,1,90,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
2022,1,1,91,밤새 서로 미루다,존박
2022,1,1,92,너와 나의 Memories,염따
2022,1,1,93,별빛 같은 나의 사랑아,임영웅
2022,1,1,94,HERO,임영웅
2022,1,1,95,Life Goes On,방탄소년단
2022,1,1,96,끝사랑,임영웅
2022,1,1,97,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
2022,1,1,98,에잇(Prod.&Feat. SUGA of BTS),아이유
2022,1,1,99,그대 손 놓아요,이선희
2022,1,1,100,Bk Love,임영웅
2022,1,2,1,취중고백,김민석
2022,1,2,2,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
2022,1,2,3,Counting Stars (Feat. Beenzino),BE'O (비오)
2022,1,2,4,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
2022,1,2,5,ELEVEN,IVE (아이브)
2022,1,2,6,사랑은 늘 도망가,임영웅
2022,1,2,7,겨울잠,아이유
2022,1,2,8,Dreams Come True,aespa
2022,1,2,9,눈이 오잖아(Feat.헤이즈),이무진
2022,1,2,10,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick)
2022,1,2,11,다정히 내 이름을 부르면,경서예지
2022,1,2,12,strawberry moon,아이유
2022,1,2,13,신호등,이무진
2022,1,2,14,STAY,The Kid LAROI
2022,1,2,15,Savage,aespa
2022,1,2,16,Step Back,GOT the beat
2022,1,2,17,드라마,아이유
2022,1,2,18,Next Level,aespa
2022,1,2,19,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student
2022,1,2,20,흰눈,먼데이 키즈
2022,1,2,21,Christmas Tree,V
2022,1,2,22,쉬어 (Feat. MINO) (Prod. GRAY),아넌딜라이트(Anandelight)
2022,1,2,23,너를 생각해,주시크 (Joosiq)
2022,1,2,24,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE'O (비오)
2022,1,2,25,우리가 헤어져야 했던 이유,비비 (BIBI)
2022,1,2,26,OHAYO MY NIGHT,디핵 (D-Hack)
2022,1,2,27,Wake Up (Prod. 코드 쿤스트),개코
2022,1,2,28,바라만 본다,MSG워너비(M.O.M)
2022,1,2,29,Butter,방탄소년단
2022,1,2,30,문득,BE'O (비오)
2022,1,2,31,낙하 (with 아이유),AKMU (악뮤)
2022,1,2,32,서랍,10CM
2022,1,2,33,이별후회,김나영
2022,1,2,34,Permission to Dance,방탄소년단
2022,1,2,35,Celebrity,아이유
2022,1,2,36,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스
2022,1,2,37,My Universe,Coldplay
2022,1,2,38,Dynamite,방탄소년단
2022,1,2,39,헤픈 우연,헤이즈 (Heize)
2022,1,2,40,Weekend,태연 (TAEYEON)
2022,1,2,41,정거장,아이유
