year,month,week_number_in_month,rank,song_name,song_performer
2024,1,1,1,Perfect Night,LE SSERAFIM (르세라핌)
2024,1,1,2,Drama,aespa
2024,1,1,3,To. X,태연 (TAEYEON)
2024,1,1,4,비의 랩소디,임재현
2024,1,1,5,첫 눈,EXO
2024,1,1,6,헤어지자 말해요,박재정
2024,1,1,7,인사,범진
2024,1,1,8,Baddie,IVE (아이브)
2024,1,1,9,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
2024,1,1,10,Love Lee,AKMU (악뮤)
2024,1,1,11,Seven (feat. Latto) - Clean Ver.,정국
2024,1,1,12,I AM,IVE (아이브)
2024,1,1,13,You & Me,제니 (JENNIE)
2024,1,1,14,에피소드,이무진
2024,1,1,15,후라이의 꿈,AKMU (악뮤)
2024,1,1,16,Super Shy,NewJeans
2024,1,1,17,Ditto,NewJeans
2024,1,1,18,사막에서 꽃을 피우듯,우디 (Woody)
2024,1,1,19,너의 모든 순간,성시경
2024,1,1,20,ETA,NewJeans
2024,1,1,21,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
2024,1,1,22,퀸카 (Queencard),i-dle (아이들)
2024,1,1,23,Hype Boy,NewJeans
2024,1,1,24,Get A Guitar,RIIZE
2024,1,1,25,사랑은 늘 도망가,임영웅
2024,1,1,26,별 떨어진다 (I Do),도경수(D.O.)
2024,1,1,27,Standing Next to You,정국
2024,1,1,28,Either Way,IVE (아이브)
2024,1,1,29,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
2024,1,1,30,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2024,1,1,31,Discord,QWER
2024,1,1,32,사랑할 수밖에,볼빨간사춘기
2024,1,1,33,사랑인가 봐,멜로망스
2024,1,1,34,사건의 지평선,윤하 (YOUNHA)
2024,1,1,35,Off The Record,IVE (아이브)
2024,1,1,36,Fast Forward,전소미
2024,1,1,37,Spicy,aespa
2024,1,1,38,OMG,NewJeans
2024,1,1,39,사랑하지 않아서 그랬어,임한별
2024,1,1,40,Kitsch,IVE (아이브)
2024,1,1,41,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
2024,1,1,42,취중고백,김민석
2024,1,1,43,잠시라도 우리,성시경
2024,1,1,44,"Steal The Show (From ""Elemental"")",Lauv
2024,1,1,45,LOVE DIVE,IVE (아이브)
2024,1,1,46,심(心),DK(디셈버)
2024,1,1,47,음악의 신,세븐틴 (SEVENTEEN)
2024,1,1,48,물론,허각
2024,1,1,49,I Don't Think That I Like Her,Charlie Puth
2024,1,1,50,Chill Kill,Red Velvet (레드벨벳)
2024,1,1,51,After LIKE,IVE (아이브)
2024,1,1,52,Bubble,STAYC(스테이씨)
2024,1,1,53,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
2024,1,1,54,주저하는 연인들을 위해,잔나비
2024,1,1,55,해요 (2022),#안녕
2024,1,1,56,화이트 (White),폴킴
2024,1,1,57,눈이 오잖아(Feat.헤이즈),이무진
2024,1,1,58,다정히 내 이름을 부르면,경서예지
