year,month,week_number_in_month,rank,song_name,song_performer
2020,1,1,1,Psycho,Red Velvet (레드벨벳)
2020,1,1,2,METEOR,창모(CHANGMO)
2020,1,1,3,Blueming,아이유(IU)
2020,1,1,4,Square (2017),백예린 (Yerin Baek)
2020,1,1,5,HIP,마마무(Mamamoo)
2020,1,1,6,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영
2020,1,1,7,Into the Unknown,Idina Menzel(이디나 멘젤)
2020,1,1,8,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",염따
2020,1,1,9,늦은 밤 너의 집 앞 골목길에서,노을
2020,1,1,10,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
2020,1,1,11,Love poem,아이유(IU)
2020,1,1,12,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2020,1,1,13,나의 오랜 연인에게,다비치
2020,1,1,14,노을,다비치
2020,1,1,15,Flower,윤미래
2020,1,1,16,Memories,Maroon 5(마룬 파이브)
2020,1,1,17,In & Out,Red Velvet (레드벨벳)
2020,1,1,18,날 보러 와요 (Come See Me),에이오에이(AOA)
2020,1,1,19,빌었어,창모(CHANGMO)
2020,1,1,20,Show Yourself,Idina Menzel(이디나 멘젤)
2020,1,1,21,0310,백예린 (Yerin Baek)
2020,1,1,22,시간의 바깥,아이유(IU)
2020,1,1,23,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),염따
2020,1,1,24,이루리,우주소녀
2020,1,1,25,안녕,폴킴(Paul Kim)
2020,1,1,26,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽(MAKTUB)
2020,1,1,27,LION,i-dle (아이들)
2020,1,1,28,불티 (Spark),태연 (TAEYEON)
2020,1,1,29,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽(MAKTUB)
2020,1,1,30,십이월 이십오일의 고백,정승환
2020,1,1,31,사랑의 재개발,유산슬
2020,1,1,32,2002,Anne-Marie(앤 마리)
2020,1,1,33,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
2020,1,1,34,unlucky,아이유(IU)
2020,1,1,35,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2020,1,1,36,Feel Special,TWICE (트와이스)
2020,1,1,37,헤어진 우리가 지켜야 할 것들,김나영
2020,1,1,38,영화 속에 나오는 주인공처럼,펀치 (Punch)
2020,1,1,39,Snowman,Sia(시아)
2020,1,1,40,Popo (How deep is our love?),백예린 (Yerin Baek)
2020,1,1,41,첫 겨울이니까,성시경
2020,1,1,42,Santa Tell Me,Ariana Grande(아리아나 그란데)
2020,1,1,43,사랑이란 멜로는 없어,전상근
2020,1,1,44,조금 취했어 (Prod. 2soo),임재현
2020,1,1,45,시든 꽃에 물을 주듯,HYNN(박혜원)
2020,1,1,46,사계 (Four Seasons),태연 (TAEYEON)
2020,1,1,47,Señorita,Shawn Mendes(션 멘데스)
2020,1,1,48,중2병,염따
2020,1,1,49,bad guy,Billie Eilish(빌리 아일리시)
2020,1,1,50,그 사람,아이유(IU)
2020,1,1,51,차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN(박혜원)
2020,1,1,52,Thumbs Up,모모랜드(MOMOLAND)
2020,1,1,53,Some Things Never Change,Kristen Bell(크리스틴 벨)
2020,1,1,54,너를 만나,폴킴(Paul Kim)
2020,1,1,55,Don't Start Now,Dua Lipa(두아 리파)
2020,1,1,56,새 사랑,송하예
2020,1,1,57,숨겨진 세상 (Into the Unknown End Credit Version),태연 (TAEYEON)
2020,1,1,58,이 번호로 전화해줘,바이브
2020,1,1,59,Obsession,EXO
2020,1,1,60,워커홀릭,볼빨간사춘기
2020,1,1,61,"FEVER (Feat. 수퍼비, BIBI)",박진영
2020,1,1,62,합정역 5번 출구,유산슬
2020,1,1,63,Rest,백예린 (Yerin Baek)
2020,1,1,64,니 소식,송하예
2020,1,1,65,있어줘요,장덕철
2020,1,1,66,그대라는 시,태연 (TAEYEON)
2020,1,1,67,ROXANNE,Arizona Zervas
2020,1,1,68,포장마차,황인욱
2020,1,1,69,자장가,아이유(IU)
2020,1,1,70,다시 만날까 봐,V.O.S.
2020,1,1,71,기억해줘요 내 모든 날과 그때를,거미 (GUMMY)
2020,1,1,72,"인기 (feat. 송가인, 챈슬러)",MC몽
2020,1,1,73,허전해,폴킴(Paul Kim)
2020,1,1,74,사랑에 연습이 있었다면 (Prod. 2soo),임재현
2020,1,1,75,운명이 내게 말해요,헤이즈(Heize)
2020,1,1,76,All Is Found,Evan Rachel Wood(이반 레이첼 우드)
2020,1,1,77,BAND,창모(CHANGMO)
2020,1,1,78,밤편지,아이유(IU)
2020,1,1,79,Paris in the Rain,Lauv(라우브)
2020,1,1,80,Speechless (Full),Naomi Scott
2020,1,1,81,Bunny,백예린 (Yerin Baek)
2020,1,1,82,이별주,황인욱
2020,1,1,83,Into the Unknown (Panic! At The Disco Version),Panic! At The Disco(패닉 앳 더 디스코)
2020,1,1,84,사랑이 식었다고 말해도 돼,먼데이 키즈
2020,1,1,85,All I Want for Christmas Is You,Mariah Carey(머라이어 캐리)
2020,1,1,86,나의 어깨에 기대어요,10CM
2020,1,1,87,Gravity,태연 (TAEYEON)
2020,1,1,88,Remember Forever,Red Velvet (레드벨벳)
2020,1,1,89,우연인 듯 운명,10CM
2020,1,1,90,그저 바라본다,에일리(Ailee)
2020,1,1,91,5월의 밤,Zion.T
2020,1,1,92,주저하는 연인들을 위해,잔나비
2020,1,1,93,With You,Crush
2020,1,1,94,Lost in the Woods,Jonathan Groff(조나단 그로프)
2020,1,1,95,텅 (Feat. 김하온(HAON)),빈첸
2020,1,1,96,미리 메리 크리스마스 (feat. 천둥 Of MBLAQ),아이유(IU)
2020,1,1,97,이상한 사람,존박
2020,1,1,98,lovelovelove,백예린 (Yerin Baek)
2020,1,1,99,맵고짜고단거 (Feat. 페노메코),다이나믹 듀오
2020,1,1,100,Mr.gloomy,백예린 (Yerin Baek)
2020,1,2,1,Psycho,Red Velvet (레드벨벳)
2020,1,2,2,WINTER FLOWER(雪中梅)(Feat.RM),윤하(Younha/ユンナ)
2020,1,2,3,METEOR,창모(CHANGMO)
2020,1,2,4,먹구름,윤하(Younha/ユンナ)
2020,1,2,5,Nerdy Love (Feat. 백예린),pH-1
2020,1,2,6,너를 사랑하고 있어,백현(BAEKHYUN)
2020,1,2,7,Blueming,아이유(IU)
2020,1,2,8,Square (2017),백예린 (Yerin Baek)
2020,1,2,9,HIP,마마무(Mamamoo)
2020,1,2,10,늦은 밤 너의 집 앞 골목길에서,노을
2020,1,2,11,Into the Unknown,Idina Menzel(이디나 멘젤)
2020,1,2,12,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
