year,month,week_number_in_month,rank,song_name,song_performer
2020,1,1,1,METEOR,창모 (CHANGMO)
2020,1,1,2,Psycho,Red Velvet (레드벨벳)
2020,1,1,3,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",염따
2020,1,1,4,Blueming,아이유
2020,1,1,5,늦은 밤 너의 집 앞 골목길에서,노을
2020,1,1,6,Square (2017),백예린 (Yerin Baek)
2020,1,1,7,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영
2020,1,1,8,HIP,마마무 (Mamamoo)
2020,1,1,9,Love poem,아이유
2020,1,1,10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2020,1,1,11,나의 오랜 연인에게,다비치
2020,1,1,12,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)",Idina Menzel
2020,1,1,13,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
2020,1,1,14,헤어진 우리가 지켜야 할 것들,김나영
2020,1,1,15,조금 취했어 (Prod. 2soo),임재현
2020,1,1,16,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
2020,1,1,17,십이월 이십오일의 고백,정승환
2020,1,1,18,사랑이란 멜로는 없어,전상근
2020,1,1,19,안녕,폴킴
2020,1,1,20,이 번호로 전화해줘,바이브
2020,1,1,21,새 사랑,송하예
2020,1,1,22,빌었어,창모 (CHANGMO)
2020,1,1,23,"인기 (Feat. 송가인, 챈슬러)",MC몽
2020,1,1,24,있어줘요,장덕철
2020,1,1,25,첫 겨울이니까,성시경
2020,1,1,26,2002,Anne-Marie
2020,1,1,27,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
2020,1,1,28,시든 꽃에 물을 주듯,HYNN (박혜원)
2020,1,1,29,포장마차,황인욱
2020,1,1,30,니 소식,송하예
2020,1,1,31,이별주,황인욱
2020,1,1,32,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2020,1,1,33,다시 만날까 봐,V.O.S
2020,1,1,34,"Show Yourself (From ""Frozen 2""/Soundtrack Version)",Idina Menzel
2020,1,1,35,BAND,창모 (CHANGMO)
2020,1,1,36,Obsession,EXO
2020,1,1,37,시간의 바깥,아이유
2020,1,1,38,불티 (Spark),태연 (TAEYEON)
2020,1,1,39,사랑에 연습이 있었다면 (Prod. 2soo),임재현
2020,1,1,40,기억해줘요 내 모든 날과 그때를,거미 (GUMMY)
