year,month,week_number_in_month,rank,song_name,song_performer
2024,1,1,1,To. X,태연 (TAEYEON)
2024,1,1,2,Perfect Night,LE SSERAFIM (르세라핌)
2024,1,1,3,Drama,aespa
2024,1,1,4,에피소드,이무진
2024,1,1,5,MANIAC,VIVIZ (비비지)
2024,1,1,6,첫 눈,EXO
2024,1,1,7,비의 랩소디,임재현
2024,1,1,8,I AM,IVE (아이브)
2024,1,1,9,Get A Guitar,RIIZE
2024,1,1,10,Ditto,NewJeans
2024,1,1,11,Baddie,IVE (아이브)
2024,1,1,12,인사,범진
2024,1,1,13,You & Me,제니 (JENNIE)
2024,1,1,14,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
2024,1,1,15,헤어지자 말해요,박재정
2024,1,1,16,ETA,NewJeans
2024,1,1,17,한 페이지가 될 수 있게,DAY6 (데이식스)
2024,1,1,18,화이트 (White),폴킴(Paul Kim)
2024,1,1,19,그대가 내 안에 박혔다,황치열
2024,1,1,20,Love Lee,AKMU(악뮤)
2024,1,1,21,Chill Kill,Red Velvet (레드벨벳)
2024,1,1,22,Super Shy,NewJeans
2024,1,1,23,후라이의 꿈,AKMU(악뮤)
2024,1,1,24,Hype Boy,NewJeans
2024,1,1,25,Discord,QWER
2024,1,1,26,Love 119,RIIZE
2024,1,1,27,Seven (feat. Latto) - Clean Ver.,정국
2024,1,1,28,GODS,NewJeans
2024,1,1,29,Standing Next to You,정국
2024,1,1,30,Off The Record,IVE (아이브)
2024,1,1,31,잠시라도 우리,성시경
2024,1,1,32,"Steal The Show (From ""Elemental"")",Lauv(라우브)
2024,1,1,33,별 떨어진다 (I Do),도경수(D.O.)
2024,1,1,34,너의 모든 순간,성시경
2024,1,1,35,OMG,NewJeans
2024,1,1,36,퀸카 (Queencard),i-dle (아이들)
2024,1,1,37,숲,최유리
2024,1,1,38,Attention,NewJeans
2024,1,1,39,Kitsch,IVE (아이브)
2024,1,1,40,Talk Saxy,RIIZE
2024,1,1,41,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
2024,1,1,42,New Jeans,NewJeans
2024,1,1,43,Spicy,aespa
2024,1,1,44,Either Way,IVE (아이브)
2024,1,1,45,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2024,1,1,46,사랑할 수밖에,볼빨간사춘기
2024,1,1,47,After LIKE,IVE (아이브)
2024,1,1,48,LOVE DIVE,IVE (아이브)
2024,1,1,49,Fast Forward,전소미
2024,1,1,50,DIE 4 YOU,DEAN(딘)
2024,1,1,51,사건의 지평선,윤하(Younha/ユンナ)
2024,1,1,52,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2024,1,1,53,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
2024,1,1,54,사랑을 하다가,황치열
2024,1,1,55,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
2024,1,1,56,Dangerously,Charlie Puth(찰리 푸스)
2024,1,1,57,사막에서 꽃을 피우듯,우디(Woody)
2024,1,1,58,넌 쉽게 말했지만,소수빈
2024,1,1,59,Snowman,Sia(시아)
2024,1,1,60,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2024,1,1,61,주저하는 연인들을 위해,잔나비
2024,1,1,62,달빛에 그려지는,미연 (MIYEON)
2024,1,1,63,Bubble,STAYC(스테이씨)
2024,1,1,64,Underwater,권은비
2024,1,1,65,사랑은 늘 도망가,임영웅
2024,1,1,66,음악의 신,세븐틴(SEVENTEEN)
